Avg_Hosp,State,Period,Claim Type,Avg_State,Avg_Nation,Percent_Hosp,Percent_State,Percent_Nation,Avg_State_Category
866.0,2,2,7,1495.0,1545.0,0.0466,0.0719,0.07139999999999999,2.0
1016.0,2,3,1,999.0,825.0,0.0546,0.0481,0.0381,1.0
340.0,2,3,2,198.0,149.0,0.0183,0.0095,0.0069,1.0
2691.0,2,3,3,3004.0,2857.0,0.1447,0.1446,0.132,4.0
495.0,2,3,4,705.0,855.0,0.026600000000000002,0.0339,0.0395,1.0
3501.0,2,3,5,2630.0,3228.0,0.1883,0.1266,0.1491,3.0
79.0,2,3,6,103.0,89.0,0.0043,0.005,0.0040999999999999995,1.0
1077.0,2,3,7,1142.0,1174.0,0.057999999999999996,0.055,0.0542,2.0
18590.0,2,4,8,20779.0,21646.0,1.0,1.0,1.0,6.0
9.0,2,1,1,16.0,13.0,0.0004,0.0008,0.0006,1.0
1.0,2,1,2,1.0,1.0,0.0,0.0,0.0,1.0
5.0,2,1,3,7.0,7.0,0.0003,0.0004,0.0003,1.0
102.0,2,1,4,108.0,152.0,0.004699999999999999,0.0052,0.006999999999999999,1.0
1.0,2,1,5,2.0,2.0,0.0,0.0001,0.0001,1.0
12.0,2,1,6,8.0,8.0,0.0005,0.0004,0.0004,1.0
586.0,2,1,7,537.0,585.0,0.0269,0.0259,0.027000000000000003,1.0
0.0,2,2,1,0.0,0.0,0.0,0.0,0.0,0.0
0.0,2,2,2,0.0,0.0,0.0,0.0,0.0,0.0
9907.0,2,2,3,9801.0,10139.0,0.4548,0.4717,0.46840000000000004,6.0
0.0,2,2,4,0.0,0.0,0.0,0.0,0.0,0.0
0.0,2,2,5,0.0,0.0,0.0,0.0,0.0,0.0
18.0,2,2,6,22.0,19.0,0.0008,0.0011,0.0009,1.0
1515.0,2,2,7,1495.0,1545.0,0.0696,0.0719,0.07139999999999999,2.0
1099.0,2,3,1,999.0,825.0,0.0504,0.0481,0.0381,1.0
308.0,2,3,2,198.0,149.0,0.0141,0.0095,0.0069,1.0
3904.0,2,3,3,3004.0,2857.0,0.17920000000000003,0.1446,0.132,4.0
567.0,2,3,4,705.0,855.0,0.026000000000000002,0.0339,0.0395,1.0
